ID,END_DATE,START_DATE,AGENDA_TITLE,AGENDA,MP3,ORDINANCES,MINUTES,RESOLUTIONS,OTHER
1,2011-01-27,2011-01-26,January 26-27 2011 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/4134592/File/Document/"" title=""January 26-27, 2011 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/4138340/"" title=""January 26-27, 2011 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=createdOn:1/26/2011 to 1/27/2011+And+recSchedule:2001-07"" title=""Ordinances from January 26-27, 2011 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/4187370/File/Document/"" title=""January 26-27, 2011 Council Meeting Minutes"">official</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:1/26/2011 to 1/27/2011"" title=""Resolutions from January 26-27, 2011 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:1/25/2011 to 1/28/2011"" title=""Other documents from January 26-27, 2011 Council Meeting"">other</a>"
2,2011-02-03,2011-02-02,February 2-3 2011 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/4145997/File/Document/"" title=""February 2-3, 2011 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/4138345/"" title=""February 2-3, 2011 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=createdOn:2/2/2011 to 2/3/2011+And+recSchedule:2001-07"" title=""Ordinances from February 2-3, 2011 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/4187371/File/Document/"" title=""Minutes from February 2-3, 2011 Council Meeting"">official</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:2/2/2011 to 2/3/2011"" title=""Resolutions from February 2-3, 2011 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:2/1/2011 to 2/4/2011"" title=""Other documents from February 2-3, 2011 Council Meeting"">other</a>"
3,2011-02-24,2011-02-23,February 23-24 2011 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/4154171/File/Document/"" title=""February 23-24, 2011 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/4176839/"" title=""February 23-24, 2011 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=createdOn:2/23/2011 to 2/24/2011+And+recSchedule:2001-07"" title=""Ordinances from February 23-24, 2011 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/4187377/File/Document/"" title=""February 23-24, 2011 Council Meeting Minutes"">official</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:2/21/2011 to 2/26/2011"" title=""Other documents from February 23-24, 2011 Council Meeting"">other</a>"
4,2011-03-10,2011-03-09,March 9-10 2011 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/4180049/File/Document/"" title=""March 9-10, 2011 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/4179469/"" title=""March 9-10, 2011 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=createdOn:3/9/2011 to 3/10/2011+And+recSchedule:2001-07"" title=""Ordinances from March 9-10, 2011 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/4189176/File/Document/"" title=""March 9-10, 2011 Council Meeting Minutes"">official</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:3/7/2011 to 3/11/2011"" title=""Other documents from March 9-10, 2011 Council Meeting"">other</a>"
5,2011-04-28,2011-04-27,April 27-28 2011 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/4244776/File/Document/"" title=""April 27-28, 2011 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/4244702/"" title=""April 27-28, 2011 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=createdOn:4/27/2011 to 4/28/2011+And+recSchedule:2001-07"" title=""Ordinances from April 27-28, 2011 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/4631608/File/Document/"" title=""Minutes from Council April 27-28, 2011 Council Meeting"">official</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:4/25/2011 to 4/29/2011"" title=""Other documents from April 27-28, 2011 Council Meeting"">other</a>"
6,2011-06-16,2011-06-15,June 15-16 2011 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/4317183/File/Document/"" title=""June 15-16, 2011 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/4335458/"" title=""June 15-16, 2011 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=createdOn:6/15/2011 to 6/16/2011+And+recSchedule:2001-07"" title=""Ordinances from June 15-16, 2011 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/4650008/File/Document/"" title=""Minutes from June 15-16, 2011 Council Meeting"">official</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:6/13/2011 to 6/17/2011"" title=""Other documents from June 15-16, 2011 Council Meeting"">other</a>"
7,2011-06-23,2011-06-22,June 22-23 2011 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/4338946/File/Document/"" title=""June 22-23, 2011 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/4335464/"" title=""June 22-23, 2011 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=createdOn:6/22/2011 to 6/23/2011+And+recSchedule:2001-07"" title=""Ordinances from June 22-23, 2011 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/4650009/File/Document/"" title=""Minutes from June 22-23, 2011 Council Meeting"">official</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:6/22/2011 to 6/23/2011"" title=""Resolutions from June 22-23, 2011 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:6/20/2011 to 6/24/2011"" title=""Other documents from June 22-23, 2011 Council Meeting"">other</a>"
8,2011-07-14,2011-07-13,July 13-14 2011 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/4394549/File/Document/"" title=""July 13-14, 2011 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/4393974/"" title=""July 13-14, 2011 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=createdOn:7/13/2011 to 7/14/2011+And+recSchedule:2001-07"" title=""Ordinances from July 13-14, 2011 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/4650012/File/Document/"" title=""Minutes from July 13-14, 2011 Council Meeting"">official</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:7/13/2011 to 7/14/2011"" title=""Resolutions from July 13-14, 2011 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:7/11/2011 to 7/16/2011"" title=""Other documents from July 13-14, 2011 Council Meeting"">other</a>"
9,2011-07-21,2011-07-20,July 20-21 2011 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/4414451/File/Document/"" title=""July 20-21, 2011 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/4414107/"" title=""July 20-21, 2011 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=createdOn:7/20/2011 to 7/21/2011+And+recSchedule:2001-07"" title=""Ordinances from July 20-21, 2011 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/4669108/File/Document/"" title=""Minutes from July 20-21, 2011 Council Meeting"">official</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:7/20/2011 to 7/21/2011"" title=""Resolutions from July 20-21, 2011 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:7/19/2011 to 7/22/2011"" title=""Other documents from July 20-21, 2011 Council Meeting"">other</a>"
10,2011-09-08,2011-09-07,September 7-8 2011 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/4509485/File/Document/"" title=""September 7-8, 2011 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/4509273/"" title=""September 7-8, 2011 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=createdOn:9/5/2011 to 9/9/2011+And+recSchedule:2001-07"" title=""Ordinances from September 7-8, 2011 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/4650016/File/Document/"" title=""Minutes from September 7-8, 2011 Council Meeting"">official</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:9/5/2011 to 9/10/2011"" title=""Other documents from September 7-8, 2011 Council Meeting"">other</a>"
