id,title,location_id,location
2525,"The Portland Building Grand Reopening Celebration",1139,"The Portland Building"
2523,"PCEF Grant Committee Meeting — April 9, 2020",2522,"Community Partners for Affordable Housing (CPAH)"
2521,"PCEF Draft Guiding Principles – Public Comment Drop-in Session #2",2520,"East Portland Community Office"
2519,"PCEF Draft Guiding Principles – Public Comment Drop-in Session #1",2518,"Billy Webb Elks Lodge"
2473,"Subcommittee: PCEF Grants Process/Review - March 4, 2020",1124,"1900 Building Suite 7100"
2463,"Bicycle Transportation Essentials Class",2462,"Go Lloyd"
2460,"Waste Equity Advisory Group Meeting #2",752,"Historic Kenton Firehouse"
2458,"Equity, Diversity, and Inclusion in the Sustainable Building Industry",2457,Ecotrust
2420,"Save the Date! Columbia Lombard Mobility Corridor Open House",2419,"Oregon Humane Society Education Hall"
2391,"College and Trades Fair Teen Night",2390,"Charles Jordan Community Center"
2383,"2020 Portland World Soccer Tournament",2382,"Delta Park"
2381,"STAND with Refugees & Immigrants",2379,"Southwest Community Center"
2322,"Portland Utility Board meeting",2150,"1900 Building"
2320,"Portland Utility Board subcommittee meeting",2319,"Mt. Tabor Reservoir Gatehouse 5"
2317,"Portland Utility Board meeting",2150,"1900 Building"
2316,"Portland Utility Board subcommittee meeting",2150,"1900 Building"
2314,"Portland Utility Board meeting",2150,"1900 Building"
2313,"Portland Utility Board subcommittee meeting",2312,"Portland City Hall"
2308,"Portland Utility Board meeting",2150,"1900 Building"
2307,"Portland Utility Board subcommittee meeting",2150,"1900 Building"
2304,"Portland Utility Board meeting",2150,"1900 Building"
2300,"Portland Utility Board  meeting",2150,"1900 Building"
2299,"Portland Utility Board Subcommittee meeting",2298,"Portland City Hall"
2290,"Subcommittee: PCEF Grants Process/Review - Feb 26, 2020",1124,"1900 Building Suite 7100"
2255,"Rental Services Commission Meeting",1144,"Commonwealth Building"
2253,"FHAC meeting",1144,"Commonwealth Building"
2252,"PHAC meeting",1008,"Portland Housing Bureau (PHB)"
2238,"SW Naito Main Street Project Public Meeting",2237,"University Place Hotel"
2214,"Subcommittee: PCEF Grants Process/Review - Feb 19, 2020",1124,"1900 Building Suite 7100"
2195,"MP2H Open House for Future Transit-oriented Development in NW and NE Portland",2194,"Metro Regional Center"
2192,"Waste Equity Advisory Group Kick-off Meeting",752,"Historic Kenton Firehouse"
2168,"Subcommittee: PCEF By-laws - Mar 12, 2020",1124,"1900 Building Suite 7100"
2167,"Subcommittee: PCEF By-laws - Feb 20, 2020",1124,"1900 Building Suite 7100"
2154,"Portland Utility Board meeting",2150,"1900 Building"
2153,"Portland Utility Board meeting",2150,"1900 Building"
2152,"Portland Utility Board subcommittee meeting",2297,"The Portland Building"
2151,"Portland Utility Board Meeting",2150,"1900 Building"
2046,"Subcommittee: PCEF By-laws - Feb 6, 2020",1124,"1900 Building Suite 7100"
1993,"PCEF Grant Committee Meeting #14",1690,"Keystone Commons"
1992,"PCEF Grant Committee Meeting - May 12, 2020",1364,"Teatro Milagro - El Zócalo space"
1990,"PCEF Grant Committee Meeting - March 31, 2020",1989,"Former David Douglas School District Office"
1988,"PCEF Grant Committee Meeting — March 10, 2020",1200,"June Key Delta Community Center"
1987,"PCEF Grant Committee Meeting - Feb 27, 2020",1986,"The Rosewood Initiative"
1985,"PCEF Grant Committee Meeting - Feb 18, 2020",1202,"New Song Community Church"
1978,"Community Conversation On Homelessness (SW)",1977,"Multnomah Arts Center Gymnasium"
1976,"Community Conversation On Homelessness (N)",1975,"University of Portland Bauccio Commons"
1974,"Community Conversation On Homelessness (NE)",1973,"Beaumont Middle School Cafeteria"
1966,"West Portland Town Center Plan - Open House",963,"Markham Elementary School"
1965,"Subcommittee: PCEF Grants Process/Review - Feb 12, 2020",1124,"1900 Building Suite 7100"
1964,"Subcommittee: PCEF Grants Process/Review - Feb 5, 2020",1124,"1900 Building Suite 7100"
1963,"Subcommittee: PCEF Grants Process/Review - Jan 29, 2020",1124,"1900 Building Suite 7100"
1952,"South Portland Historic District Design Guidelines CAG Meeting #5",1124,"1900 Building Suite 7100"
1951,"South Portland Historic District Design Guidelines CAG Meeting #4",1124,"1900 Building Suite 7100"
1949,"CANCELED - PHAC Executive Committee Meeting",1144,"Commonwealth Building"
1948,"Rental Services Commission Meeting",1144,"Commonwealth Building"
1946,"PHAC Meeting",1144,"Commonwealth Building"
1919,"LMBC Meeting (room 206)",1139,"The Portland Building"
1918,"LMBC Meeting (room 206)",1139,"The Portland Building"
1910,"South Reach Drop-in Session",1909,"Sellwood Library"
1908,"South Reach Drop-in Session",1404,"Center for Equity and Inclusion"
1907,"Central City Presentation",1124,"1900 Building Suite 7100"
1906,"Community Conversation On Homelessness (SE)",1972,"PCC Southeast Community Hall"
1896,"Workforce and Contractor Equity Agreement Design Session",1897,"New Song Community Center"
1892,"Subcommittee: PCEF Grants Process/Review - Jan 23, 2020",1124,"1900 Building Suite 7100"
1860,"N/NE Oversight Meeting",1202,"New Song Community Church"
1851,"RSC Executive Committee Meeting",1144,"Commonwealth Building"
1850,"Rental Services Commission Meeting",1144,"Commonwealth Building"
